200 3 14
50
1 2 3 29.4 5.4 4 5
2 0 3 25.7 4.4 3 4
3 1 3 11.2 3.5 4 5
4 0 5 29.4 5.5 1 1
5 1 7 12.7 1.2 2 3
6 2 6 38.8 4.6 4 4
7 2 9 37.7 3.9 2 4
8 2 9 37.6 1.2 4 2
9 2 11 38.3 5.9 1 3
10 1 12 23.0 4.4 1 2
11 0 11 13.4 4.4 4 1
12 2 12 34.5 3.1 2 4
13 1 14 31.7 1.2 2 5
14 0 16 39.4 3.1 4 5
15 0 16 37.4 3.9 1 3
16 0 16 12.2 2.9 3 4
17 0 19 23.1 2.6 2 5
18 1 18 28.6 1.0 3 5
19 1 21 24.2 2.3 4 4
20 1 22 11.9 3.4 4 1
21 1 22 16.1 1.0 1 5
22 0 24 39.9 5.8 1 1
23 0 25 31.7 5.7 2 3
24 0 26 15.9 3.5 3 1
25 2 27 13.0 5.5 4 1
26 2 26 23.9 2.2 1 4
27 1 27 38.4 2.4 2 1
28 0 29 13.1 3.8 1 5
29 1 30 28.2 3.3 2 5
30 2 30 38.5 2.4 2 4
31 2 31 30.3 1.3 3 4
32 0 34 23.0 2.8 3 2
33 2 34 19.1 1.5 1 4
34 2 36 25.3 4.6 1 3
35 0 37 11.5 1.2 1 3
36 0 38 15.2 1.7 3 2
37 2 38 34.5 1.7 4 3
38 0 40 13.7 1.3 4 2
39 1 40 34.0 2.7 2 2
40 1 41 21.8 5.0 2 4
41 0 43 18.1 5.1 3 4
42 2 42 25.7 4.0 2 3
43 2 43 23.2 3.0 2 1
44 0 46 24.4 6.0 1 3
45 0 46 35.3 5.3 4 5
46 2 48 36.6 3.6 1 1
47 0 48 28.0 5.7 1 2
48 0 50 11.3 5.7 3 3
49 2 50 34.2 5.5 1 2
50 2 50 39.5 5.1 3 4
