Game is:-  WIN
KTS  ID   FD   KD   LT
19   2    2    14   16   
19   2    2    14   16   
31   14   0    15   15   
31   14   0    15   15   
119  16   14   89   103  
119  16   14   89   103  
52   17   10   23   33   
119  16   14   89   103  
52   17   10   23   33   
39   15   2    21   23   
39   15   2    21   23   
52   17   10   23   33   
52   17   10   23   33   
67   4    0    62   62   
67   4    0    62   62   
117  23   11   81   92   
117  23   11   81   92   
67   4    0    62   62   
117  23   11   81   92   
71   11   2    58   60   
71   11   2    58   60   
75   28   43   3    46   
75   28   43   3    46   
84   32   42   8    50   
84   32   42   8    50   
119  22   0    95   95   
119  22   0    95   95   
90   35   48   5    53   
90   35   48   5    53   
94   36   48   8    56   
94   36   48   8    56   
102  41   52   7    59   
102  41   52   7    59   
118  24   48   44   92   
118  24   48   44   92   
109  38   51   18   69   
109  38   51   18   69   
112  44   57   9    66   
112  44   57   9    66   
113  45   59   8    67   
113  45   59   8    67   
118  24   48   44   92   
118  24   48   44   92   
118  24   48   44   92   
117  23   11   81   92   
118  48   63   5    68   
118  24   48   44   92   
118  48   63   5    68   
119  22   0    95   95   
119  16   14   89   103  
1233
Total Enemies = 50
Average First-Shot Delay = 27.32
Average Kill Delay = 37.3
